mesh3	保全優先度全国ランク_全分類群	保全優先度全国ランク_植物	保全優先度全国ランク_哺乳類	保全優先度全国ランク_鳥類	保全優先度全国ランク_爬虫類	保全優先度全国ランク_両生類	保全優先度全国ランク_淡水魚類	保全優先度県内ランク_全分類群	保全優先度全国ランク_セミ類	保全優先度全国ランク_チョウ類	保全優先度全国ランク_トンボ類	種数_植物	種数_哺乳類	種数_鳥類	種数_爬虫類	種数_両生類	種数_淡水魚類	種数_セミ類	種数_チョウ類	種数_トンボ類	種数ランク_植物	種数ランク_哺乳類	種数ランク_鳥類	種数ランク_爬虫類	種数ランク_両生類	種数ランク_淡水魚類	種数ランク_セミ類	種数ランク_チョウ類	種数ランク_トンボ類
52365606	0.835	0.497	0.305	0.96	0.544	0.853	0.863	0.407	0.438	0.083	0.856	235	3	125	0	4	18	5	8	36	0.3143	0.024	0.9651	0	0.5038	0.7662	0.7748	0.1841	0.8074
52365607	0.973	0.59	0.559	0.992	0.85	0.765	0.981	0.994	0.682	0.366	0.961	713	9	182	7	7	56	5	36	51	0.7696	0.2906	0.9966	0.7878	0.7463	0.9951	0.7748	0.591	0.8898
52365608	0.907	0.774	0.554	0.947	0.768	0.829	0.947	0.763	0.634	0.22	0.812	659	8	125	4	5	43	5	27	33	0.733	0.2216	0.9651	0.6797	0.5899	0.9675	0.7748	0.4848	0.7882
52365609	0.836	0.478	0.414	0.955	0.787	0.462	0.915	0.625	0.401	0.152	0.656	501	5	132	2	2	30	2	18	20	0.6045	0.0721	0.9722	0.5598	0.2845	0.9002	0.4894	0.3582	0.6836
52365614	0.91	0.284	0.617	0.979	0.562	0.871	0.919	0.821	0.494	0.113	0.768	368	9	157	3	4	37	4	18	34	0.4734	0.2906	0.9892	0.6295	0.5038	0.943	0.7031	0.3582	0.7946
52365615	0.881	0.373	0.553	0.967	0.499	0.904	0.903	0.631	0.398	0.082	0.673	305	7	137	1	4	29	4	10	22	0.4021	0.1602	0.9766	0.4252	0.5038	0.8925	0.7031	0.2213	0.7032
52365616	0.868	0.459	0.506	0.953	0.525	0.926	0.905	0.519	0.324	0.086	0.591	305	6	129	1	4	29	3	9	17	0.4021	0.1111	0.9693	0.4252	0.5038	0.8925	0.6128	0.2028	0.6503
52365617	0.977	0.635	0.586	0.99	0.85	0.898	0.981	0.991	0.634	0.253	0.922	689	8	168	8	6	51	5	31	44	0.7538	0.2216	0.9934	0.8182	0.6718	0.9879	0.7748	0.5339	0.8537
52365618	0.908	0.738	0.523	0.933	0.713	0.846	0.953	0.69	0.547	0.141	0.758	543	8	112	2	5	43	5	20	30	0.6409	0.2216	0.9482	0.5598	0.5899	0.9675	0.7748	0.3885	0.7677
52365619	0.904	0.694	0.553	0.952	0.816	0.591	0.957	0.783	0.656	0.186	0.92	616	7	124	6	5	45	5	23	43	0.7003	0.1602	0.9641	0.7564	0.5899	0.9737	0.7748	0.4313	0.8482
52365624	0.829	0.401	0.448	0.918	0.423	0.948	0.895	0.257	0.262	0.066	0.367	200	6	108	0	4	22	1	5	5	0.2677	0.1111	0.9417	0	0.5038	0.8221	0.3004	0.1263	0.4151
52365625	0.833	0.388	0.288	0.911	0.408	0.914	0.913	0.23	0.326	0.058	0.41	189	5	104	0	4	20	3	2	8	0.2523	0.0721	0.9344	0	0.5038	0.7956	0.6128	0.059	0.5014
52365626	0.932	0.457	0.515	0.977	0.644	0.878	0.949	0.839	0.532	0.133	0.733	390	9	163	2	4	39	5	21	22	0.4967	0.2906	0.9917	0.5598	0.5038	0.9522	0.7748	0.4033	0.7032
52365627	0.969	0.604	0.603	0.984	0.814	0.757	0.983	0.98	0.641	0.21	0.9	647	9	162	7	6	51	5	27	38	0.724	0.2906	0.9914	0.7878	0.6718	0.9879	0.7748	0.4848	0.8195
